"","MaxPleioSize","PowerCochrQ","PowerRuckQ","PowerMREgg"
"1",0,0.0474,0.0474,0.0538
"2",0.0105263157894737,0.0608,0.0596,0.0536
"3",0.0210526315789474,0.0962,0.092,0.0624
"4",0.0315789473684211,0.1696,0.1576,0.075
"5",0.0421052631578947,0.2948,0.266,0.0896
"6",0.0526315789473684,0.475,0.4292,0.1094
"7",0.0631578947368421,0.6388,0.5962,0.1198
"8",0.0736842105263158,0.7668,0.7278,0.1242
"9",0.0842105263157895,0.8624,0.8328,0.1404
"10",0.0947368421052632,0.9322,0.9104,0.1558
"11",0.105263157894737,0.958,0.9452,0.166
"12",0.115789473684211,0.9812,0.9754,0.1748
"13",0.126315789473684,0.991,0.9868,0.1712
"14",0.136842105263158,0.9978,0.9972,0.1692
"15",0.147368421052632,0.9978,0.9968,0.181
"16",0.157894736842105,0.9992,0.9984,0.187
"17",0.168421052631579,0.9994,0.9994,0.1964
"18",0.178947368421053,0.9996,0.9994,0.182
"19",0.189473684210526,1,1,0.1946
"20",0.2,1,0.9998,0.1976
